asset_id,task,class,priority,size,vendor,stage,due,cost_usd,approved_by
ART-0053,"Dialogue box: parchment scroll with a speaker name-plate cartouche (tinted per CAST.color), a continue-arrow quill glyph and an auto/skip indicator",UI art kit,P0,M,in-house (procedural),done,,0,
ART-0054,"Choice-button art: 3 states (idle, hover and pressed wax-rub, disabled faded) for VN choices and menu buttons",UI art kit,P1,S,in-house (procedural),done,,0,
ART-0055,Tooltip frame (small vellum slip with a pin) and a keybind glyph plate for tutorial prompts,UI art kit,P1,S,in-house (procedural),done,,0,
ART-0056,"Briefing screen art: a patient chart on vellum with a Wound-Man diagram and pin markers for ailment locations, plus stamped prognosis boxes",UI art kit,P1,M,in-house (procedural),done,,0,
ART-0057,Title-menu frame: an illuminated manuscript page with a rubricated initial and marginalia beasts,UI art kit,P1,M,in-house (procedural),done,,0,
ART-0058,"Options menu art: tabbed ledger pages (Video, Audio, Controls, Accessibility, Language), with sliders drawn as a brass rule plus a wax bead",UI art kit,P1,M,in-house (procedural),done,,0,
ART-0059,Save/load slot cards: ledger entries with chapter vignette thumbnails (1 per chapter scene) and a date-stamp style,UI art kit,P1,S,TBD,not started,,,
ART-0060,"End-of-demo wishlist screen: a woodcut plate of the Chapter 3 teaser with a ""Wishlist on Steam"" button in UI-kit style",UI art kit,P1,M,in-house (procedural),done,,0,
ART-0061,"Loading-screen art: 4 woodcut vignettes (Wound Man, leech jar, Pyre, Choir mask) with an hourglass spinner",UI art kit,P2,S,in-house (procedural),done,,0,
ART-0064,"Rank seals XS / S / A / B / C in wax (gold-leaf XS, oxblood S, green A, brown B, cracked grey C), each with a press-in animation of 6 frames",UI art kit,P0,M,in-house (procedural),done,,0,
ART-0065,"Action-rating stamps COOL / GOOD / BAD / MISS as ink-stamp sprites (blackletter), with a 4-frame stamp-hit flipbook each",UI art kit,P0,S,in-house (procedural),done,,0,
ART-0066,Combo counter art: a tally-mark ribbon (×2–×9 and ×10+ gilt variant),UI art kit,P1,S,in-house (procedural),done,,0,
ART-0067,"Chapter-complete seal and ""Operation Failed"" black-wax seal with a Holbein skeleton impression",UI art kit,P1,S,in-house (procedural),done,,0,
ART-0068,"Inquisition ""SUSPECT"" stamp and Guild ""APPROVED"" stamp for story UI beats",UI art kit,P2,S,in-house (procedural),done,,0,
ART-0070,"Brass instrument tray: an 8-slot tray on a leather roll along the screen edge, with engraved hotkey numerals 1–8, a selected-slot glow and an empty-slot state",UI art kit,P0,L,in-house (procedural),done,,0,
ART-0071,"Vitals meter: a brass-and-glass apothecary gauge (0–99) with red tincture fill, low-vitals crack overlay and pulsing states",UI art kit,P0,M,in-house (procedural),done,,0,
ART-0072,Timer art: a sand-glass with an animated sand stream (8 frames) plus a numeric plate,UI art kit,P0,S,in-house (procedural),done,,0,
ART-0073,"Litany gauge: a five-pointed-star reliquary that fills with gilt, with a ""spent"" tarnished state and a ready glint animation",UI art kit,P0,M,in-house (procedural),done,,0,
ART-0074,Tincture vial HUD element with 3 fill levels and an empty cork state,UI art kit,P1,S,in-house (procedural),done,,0,
ART-0075,"ECG replacement: a pulse ""quill trace"" drawn on a vellum strip, with a flatline-warning ink blot",UI art kit,P1,S,in-house (procedural),done,,0,
ART-0076,Sister Ilse callout portrait inset (circular brass locket frame) with 4 expressions for operation callouts,UI art kit,P1,S,TBD,not started,,,
ART-0077,"Score and combo popup font treatment: gilt numerals with a dark outline, legible over red flesh at 18 px virtual",UI art kit,P1,S,in-house (procedural),done,,0,
ART-0078,"Phase banner art (""Phase II"", ""The Malison Stirs"") as a torn ribbon scroll with a slide-in animation",UI art kit,P1,S,in-house (procedural),done,,0,
ART-0079,Pause-screen overlay: a candle-snuffed vignette plus a hanging ledger menu,UI art kit,P2,S,in-house (procedural),done,,0,
ART-0080,"Type hierarchy spec: UnifrakturMaguntia for titles and seals only (≥ 28 px virtual), IM Fell English for body (≥ 16 px virtual), IM Fell SC for labels — with a sizes table",UI art kit,P0,S,in-house (procedural),done,,0,
ART-0081,Readability check: all body text at 1280×720 passes WCAG AA contrast on parchment (4.5:1) — screenshots of every text style,UI art kit,P0,S,in-house (procedural),done,,0,
ART-0082,Rubricated drop-cap set A–Z (red and gilt) for story-scene openings and briefing titles,UI art kit,P1,M,in-house (procedural),done,,0,
ART-0083,Dyslexia/accessibility font option: art approval of a plain OFL serif fallback that keeps the parchment look,UI art kit,P1,S,in-house (procedural),done,,0,
ART-0084,Glyph coverage audit of both fonts for demo languages (EN/DE/FR/ES/PL/PT-BR) — missing glyphs listed and a fallback font chosen,UI art kit,P1,S,in-house (procedural),done,,0,
ART-0086,"Custom ligature and ornament glyphs (fleurons, manicules ☞, section marks) packed into the glyph atlas",UI art kit,P2,S,in-house (procedural),done,,0,
ART-0088,"Expression guide: the 8 base expressions demonstrated on a neutral head, with brow, mouth and eye rules in woodcut shorthand",Character portraits,P0,S,TBD,not started,,,
ART-0089,"Portrait lighting rule: key light from candle (warm, screen-left), rim light in the speaker's CAST.color, and the inactive-speaker darken value (−35% value)",Character portraits,P1,S,in-house (procedural),done,,0,
ART-0090,"Kreuzer concept: 3 thumbnail options → chosen design with a turnaround (front, ¾, profile), surgeon's cap, leather apron and a lancet roll",Character portraits,P0,M,TBD,not started,,,
ART-0091,"Kreuzer portrait base + 8 base expressions + blink + mouth layers, in-engine",Character portraits,P0,M,TBD,not started,,,
ART-0092,"Kreuzer extra expressions: exhausted (after surgery), blood-spattered variant of neutral and determined",Character portraits,P1,S,TBD,not started,,,
ART-0093,Kreuzer surgical-mask variant (linen mask + magnifier spectacles) for pre-op VN scenes,Character portraits,P1,S,TBD,not started,,,
ART-0095,"Ilse concept and turnaround: mercy-order coif and habit, a sun-in-palm pendant, rolled sleeves and a satchel of salves",Character portraits,P0,M,TBD,not started,,,
ART-0096,"Ilse portrait base + 8 base expressions + blink + mouth, in-engine",Character portraits,P0,M,TBD,not started,,,
ART-0097,"Ilse extra expressions: urgent-callout (used in op callouts), laughing, suspicious-of-Stroh",Character portraits,P1,S,TBD,not started,,,
ART-0098,"Ilse locket crops (HUD callout inset) exported from the portrait: neutral, urgent, relieved, alarmed",Character portraits,P1,S,TBD,not started,,,
ART-0100,"Haller concept: elderly retired guild surgeon, bare-headed, guild chain of office, ink-stained fingers, a brandy flask",Character portraits,P0,M,TBD,not started,,,
ART-0101,Haller portrait base + 8 expressions + blink + mouth,Character portraits,P0,M,TBD,not started,,,
ART-0102,"Haller extra expressions: drunk-jovial, lecturing (finger raised)",Character portraits,P2,S,TBD,not started,,,
ART-0103,"Stroh concept: Order of the Pyre inquisitor with a wide-brim hat, ash-grey coat, a pyre-brand badge (original design, IP-checked) and a wheel-lock pistol",Character portraits,P0,M,TBD,not started,,,
ART-0104,Stroh portrait base + 8 expressions + blink + mouth,Character portraits,P0,M,TBD,not started,,,
ART-0105,"Stroh extra expressions: cold smile, interrogating (leaning in), plus a hat-shadowed eyes variant for menace beats",Character portraits,P1,S,TBD,not started,,,
ART-0107,"Mauer concept: Kessendorf Watch captain, morion helm, city-arms tabard, halberd, a broken nose",Character portraits,P0,M,TBD,not started,,,
ART-0108,Mauer portrait base + 8 expressions + blink + mouth,Character portraits,P0,M,TBD,not started,,,
ART-0109,Mauer helm-off variant for the Chapter 2 camp scenes,Character portraits,P2,S,TBD,not started,,,
ART-0110,"Hollow Choir cantor design: a hooded chorister with a hollow porcelain singing-mask (open O-mouth), violet-lined robes and a hymnal chained to the wrist",Character portraits,P0,M,TBD,not started,,,
ART-0111,"Choir portrait (choir cast id): base + 4 states (singing, silent, mask-cracked, unmasked-in-shadow)",Character portraits,P0,M,TBD,not started,,,
ART-0112,"Lay-cantor patient portrait (op2-4 ""The Silenced Cantor""): unmasked, throat bound, fearful and defiant expressions",Character portraits,P1,S,TBD,not started,,,
ART-0115,"Jost, drover (op1-1): portrait with 3 expressions (pained, drunk-defiant, grateful)",Character portraits,P0,S,TBD,not started,,,
ART-0116,"Pieter, militiaman (op1-2): portrait in a Watch jerkin with 3 expressions (pained, stoic, grateful)",Character portraits,P0,S,TBD,not started,,,
ART-0117,"Anno, gunsmith's apprentice (op1-3): powder-blackened face, singed hair, 3 expressions",Character portraits,P0,S,TBD,not started,,,
ART-0118,"Unknown vagrant of Tanners' Rows (op1-4): buboes visible at the neck, 3 expressions (feverish, delirious, calm)",Character portraits,P0,S,TBD,not started,,,
ART-0119,"Emmerich, page-boy (op1-5): livery, a curse-sigil faintly visible on the collarbone, 3 expressions (frightened, unconscious, recovered)",Character portraits,P0,S,TBD,not started,,,
ART-0120,"Gravehound victim (op2-1): a camp sutler with a torn sleeve, 3 expressions",Character portraits,P0,S,TBD,not started,,,
ART-0121,"Orsa Flintvein, dwarf prospector (op2-2): braided beard with ore beads, ruddy dwarf skin tone matching the dwarf flesh tint, 3 expressions",Character portraits,P0,S,TBD,not started,,,
ART-0122,"Henning, forager (op2-3): swollen bite at the neck, 3 expressions",Character portraits,P0,S,TBD,not started,,,
ART-0123,"Jorg, standard-bearer (op2-5): company colours over his shoulder, 3 expressions + a cursed variant (violet veins)",Character portraits,P0,S,TBD,not started,,,
ART-0124,"Generic NPC bust kit: 6 bodies × 8 heads × 4 hats, recolourable, for unnamed speakers (orderly, watchman, pikeman, camp follower)",Character portraits,P1,M,TBD,not started,,,
ART-0130,"6 CG illustrations for Chapters 1–2 key beats (prologue arrival, Matins revealed, Stroh's first accusation, the camp at dawn, Lauds' twin bodies, the chapel epilogue) at 1920×1080",Character portraits,P1,M,TBD,not started,,,
ART-0132,"Portrait entry and exit poses: slide + fade, with a ""lean-in"" alt frame for Kreuzer, Ilse and Stroh",Character portraits,P2,S,TBD,not started,,,
ART-0134,"Hospice of Saint Ildra, ward (hospice): vaulted arcade, cots, a leech-jar shelf and candle alcoves — day and night variants",Story backgrounds,P0,L,in-house (procedural),done,,0,
ART-0135,"Operating theatre (theatre): tiered wooden gallery, a slab table, a brass lamp and a drain gutter — the background behind briefings and pre-op",Story backgrounds,P0,L,in-house (procedural),done,,0,
ART-0136,"Kessendorf street (street): half-timbered Tanners' Rows, gutters, guild signs, a gibbet — dusk variant",Story backgrounds,P0,L,in-house (procedural),done,,0,
ART-0137,"Kessendorf by night (night): rooftops, a bell tower, torchlit watch patrol — shared by Chapters 1 and 2",Story backgrounds,P0,M,in-house (procedural),done,,0,
ART-0138,"Chapel of Saint Ildra (chapel): an original stained-glass window design (sun-in-palm), pews and a reliquary",Story backgrounds,P0,M,in-house (procedural),done,,0,
ART-0139,"Hospice apothecary room: shelves of jars, an alembic and a drying-herb rafter (new apothecary backdrop key)",Story backgrounds,P1,M,in-house (procedural),done,,0,
ART-0140,"Tanners' Rows plague alley for the op1-4 intro: a cart of bodies, a beak-masked physician in the far layer",Story backgrounds,P1,M,in-house (procedural),done,,0,
ART-0141,"Guildhall of Surgeons interior for Haller scenes (portraits of guild masters, an anatomy chart)",Story backgrounds,P2,M,in-house (procedural),done,,0,
ART-0142,"War camp (camp): Bruegel-style panorama of tents, pike stands, cook fires and camp followers — day and dusk variants",Story backgrounds,P0,L,in-house (procedural),done,,0,
ART-0143,"Field surgeon's tent interior: a trestle table, a lantern, bloody straw and a saw rack",Story backgrounds,P0,M,in-house (procedural),done,,0,
ART-0144,"Graveyard on the camp edge (Gravehound intro): tilted stones, a lychgate and fog layer",Story backgrounds,P1,M,in-house (procedural),done,,0,
ART-0145,Dwarf ore-cart and prospectors' camp (op2-2 intro),Story backgrounds,P1,M,in-house (procedural),done,,0,
ART-0146,Forest edge with brood webs and egg sacs (op2-3 intro),Story backgrounds,P1,M,in-house (procedural),done,,0,
ART-0147,Ruined abbey choir loft where the Hollow Choir sang (op2-4 and op2-5 story beats),Story backgrounds,P1,M,in-house (procedural),done,,0,
ART-0148,"Dawn battlefield vista for the Lauds reveal, with a sun-flare FX layer",Story backgrounds,P1,S,in-house (procedural),done,,0,
ART-0154,"Candle and torch flicker sprites (3 sizes, 12-frame loop) with light-pool masks for every Chapter 1–2 interior",Story backgrounds,P1,M,in-house (procedural),done,,0,
ART-0155,"Drifting smoke and dust-mote loop overlay (tileable, additive) for interiors",Story backgrounds,P1,S,in-house (procedural),done,,0,
ART-0156,Rain and fog overlay layers for the night and graveyard scenes,Story backgrounds,P1,S,in-house (procedural),done,,0,
ART-0157,"Ambient life loops: 2 pigeons, a hanging-sign sway and a camp flag ripple (6–8 frames each)",Story backgrounds,P2,S,in-house (procedural),done,,0,
ART-0158,Parallax depth values tuned per background so a 2% pointer offset shifts layers without revealing edges (all layers bleed 64 px),Story backgrounds,P1,S,in-house (procedural),done,,0,
ART-0159,"Flesh look-dev page (?scene=fleshlab): pick organ × species × texture set, sliders for u_light, u_pulse and u_corrupt, side-by-side with the procedural baseline",Organ & flesh texture sets,P0,M,in-house (procedural),done,,0,
ART-0160,Tileability check script: each albedo and normal is offset by half a tile and diffed for seams (fails above threshold),Organ & flesh texture sets,P0,S,TBD,not started,,,
ART-0161,"Painted-flesh style guide: how far from photoreal (no photo textures; woodcut hatching in the cavity channel), 6 approved swatches",Organ & flesh texture sets,P0,M,TBD,not started,,,
ART-0162,"Wet-map authoring guide: specular response per organ (heart glossy, liver satin, bone dry) with target roughness values",Organ & flesh texture sets,P1,S,TBD,not started,,,
ART-0163,"Skin/subcutaneous flesh set: epidermis, fat lobules and muscle-fibre direction layers — used by all ten demo ops",Organ & flesh texture sets,P0,L,TBD,not started,,,
ART-0164,Muscle-fascia detail variant of flesh (fibre-aligned normals) for deep laceration and arrow sites,Organ & flesh texture sets,P0,M,TBD,not started,,,
ART-0165,"Burned-skin overlay set (charred, blistered, weeping) blended by burn severity for Burn entities",Organ & flesh texture sets,P1,M,TBD,not started,,,
ART-0166,"Plague/rot overlay set (necrotic black-green, pus-slick wet map) blended by Rot spread",Organ & flesh texture sets,P1,M,TBD,not started,,,
ART-0175,"Dwarf flesh variant: denser muscle fibre, ruddier albedo, thicker subcutaneous fat — needed for op2-2 Orsa",Organ & flesh texture sets,P0,M,in-house (procedural),done,,0,
ART-0181,"Curse-corruption texture (violet veining, bruise-black necrosis, woodcut-hatched sigil scarring) driven by u_corrupt 0–1, replacing the procedural tint",Organ & flesh texture sets,P0,M,TBD,not started,,,
ART-0182,Curse-corruption flow map so violet veins crawl toward the Malison position,Organ & flesh texture sets,P1,S,TBD,not started,,,
ART-0184,"Incision art: a tileable cut-edge strip sprite (skin lips, fat layer, bleeding edge) drawn along the Incision polyline, with an opening animation over 6 frames",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0185,"Laceration set: 3 widths × 2 edge types (clean blade, ragged claw), tileable along the path, with a pulse-bleed overlay",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0186,"Gut Thread suture art: stitch sprite per crossing (gut-coloured, knotted) plus a tightening pull frame for StitchLine",Ailment sprites & animation,P0,S,TBD,not started,,,
ART-0187,Claw-rake variant: 3–4 parallel lacerations as one grouped decal for monster ops (op2-1),Ailment sprites & animation,P1,S,TBD,not started,,,
ART-0188,Closed-wound state: a sutured scar sprite that persists to the results screen,Ailment sprites & animation,P1,S,TBD,not started,,,
ART-0190,"Blood pool sprites: 4 shapes × 3 sizes with a wet-map channel, a spreading flipbook (8 frames) and a Leech-Pipe draining shrink",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0191,"Pus and black-bile variants of the pool set (colour, opacity, viscosity highlight) for BloodPool kinds",Ailment sprites & animation,P0,S,TBD,not started,,,
ART-0192,"Arterial spurt flipbook (6 frames, 3 directions) for severed-vessel events",Ailment sprites & animation,P1,S,TBD,not started,,,
ART-0193,"Salve (Saint's Salve) coverage decal: pale-gold paste with a glisten, fading over 1.5 s once absorbed",Ailment sprites & animation,P1,S,TBD,not started,,,
ART-0195,"Arrow: a painted goose-fletched shaft with a broadhead, the embedded end masked into the tissue, plus a wobble-on-grab 4-frame loop",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0196,"Barbed arrow: a visible barb silhouette, a ""nicked"" state after Lancet release and a torn-out bad state (flesh chunk on the barb)",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0197,"Crossbow bolt: a short, heavy quarrel with square head and a leather-vaned variant",Ailment sprites & animation,P0,S,TBD,not started,,,
ART-0198,"Lead shot: 3 ball sizes, a flattened deformed variant and a powder-tattoo ring decal around the entry wound",Ailment sprites & animation,P0,S,TBD,not started,,,
ART-0199,"Lodged fang/tooth: gravehound canine and brood-spider fang, with a venom-stained root",Ailment sprites & animation,P0,S,TBD,not started,,,
ART-0200,Glass shards: 5 shapes with a refraction highlight (rim-lit via the additive pass),Ailment sprites & animation,P1,S,TBD,not started,,,
ART-0201,"Hexstone shard: black-violet crystal with pulsing inner light (6-frame loop), a crackle on grab and a dissolve on removal",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0202,Extraction-tray art: removed objects dropped into a pewter kidney dish at screen edge (one sprite per object type),Ailment sprites & animation,P1,S,TBD,not started,,,
ART-0204,"Fire burn: 3 severity decals (reddened, blistered, charred), with a cooling transition when salved",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0205,Acid burn: yellow-green etched decal with a bubbling 6-frame loop and a neutralised state,Ailment sprites & animation,P0,S,TBD,not started,,,
ART-0206,Hexfire burn: violet-cored flame-edge decal with licking flame flipbook (8 frames) that reignites if untreated,Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0207,"Powder burn with embedded black grains (op1-3), with grains as pickable sub-sprites",Ailment sprites & animation,P1,S,TBD,not started,,,
ART-0209,"Bubo: swelling sprite in 3 sizes with a tension-shine wet map, a lance-open burst flipbook (6 frames) and a drained, deflated state",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0210,Rot/gangrene: spreading necrotic decal (4 growth stages) with a crusted edge and a debrided clean state,Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0211,"Pox pustule cluster decal (small, many) for Symptom Loom reuse",Ailment sprites & animation,P1,S,TBD,not started,,,
ART-0214,"Venom: a spreading vein-web decal (green-black) with a tincture-neutralised fade, driven by the Venom entity's spread value",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0215,"Grub: a segmented larva sprite with an 8-frame crawl cycle, a burrow-in/burrow-out pair and a squirm-in-tongs loop",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0216,"Egg sac: translucent cluster with visible embryos (3 sizes), a pulsing loop, a hatch flipbook (grubs emerge) and a Tongs-removal state — op2-3",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0217,Brood silk strands (tileable web decal) that must be cut with the Lancet,Ailment sprites & animation,P1,S,TBD,not started,,,
ART-0219,"Curse-sigil set: 8 original sigil glyphs (IP-checked, no eight-pointed stars), each with stroke-order data for trace-to-erase and a searing-out animation",Ailment sprites & animation,P0,M,TBD,not started,,,
ART-0220,"Sigil glow states: dormant (faint), draining (pulsing violet) and seared (charred gold)",Ailment sprites & animation,P0,S,TBD,not started,,,
ART-0226,"Malison design language sheet: common anatomy (woven-thread body, liturgical fragments, an eye motif), shared violet and per-Hour secondary colours, with 8 silhouettes side by side for distinctness",The Malison — boss designs for all eight Hours,P0,M,TBD,not started,,,
ART-0227,Book-of-Hours card template: an illuminated miniature frame with the Hour's name in blackletter and a clock-face marginal border,The Malison — boss designs for all eight Hours,P0,S,TBD,not started,,,
ART-0228,"Malison shard (MalisonShard) art: 3 thread-knot shapes, a drift loop and a burst-on-kill flipbook",The Malison — boss designs for all eight Hours,P1,M,TBD,not started,,,
ART-0229,"Boss health ""thread spool"" HUD art that unwinds as the Malison is damaged",The Malison — boss designs for all eight Hours,P1,S,TBD,not started,,,
ART-0230,Matins concept: a shrouded vigil-mass of candle-wax cloth with one great lidded eye — callout sheet with closed/opening/open states,The Malison — boss designs for all eight Hours,P0,M,TBD,not started,,,
ART-0231,"Matins sprites: shroud body (idle breathing 12-frame loop), eye open/close flipbook (10 frames), hurt flash and 3 phase-degradation states, replacing the vector Malison",The Malison — boss designs for all eight Hours,P0,L,TBD,not started,,,
ART-0232,"Matins shader VFX spec: shroud cloth distortion (vertex wobble), eye iris glow ramp and a darkness-vignette pulse on the ""watching"" rhythm",The Malison — boss designs for all eight Hours,P0,M,TBD,not started,,,
ART-0233,Matins death sequence: the shroud unravels into threads and motes (24 frames) with a final eye-close,The Malison — boss designs for all eight Hours,P0,M,TBD,done,,0,
ART-0234,Matins Book-of-Hours card and a boss-intro splash (night vigil miniature),The Malison — boss designs for all eight Hours,P1,S,TBD,not started,,,
ART-0235,"Lauds concept: two antiphonal bodies (a ""choir"" of mouths each) joined by a light-thread, with a fused phase-3 form — callout sheet",The Malison — boss designs for all eight Hours,P0,M,TBD,not started,,,
ART-0236,"Lauds sprites: body A and body B idle loops, ""call"" and ""answer"" singing flipbooks (8 frames each), hurt and heal-answer states",The Malison — boss designs for all eight Hours,P0,L,TBD,not started,,,
ART-0237,"Lauds light-thread VFX: a stretchable beam sprite with travelling pulses, a sever animation (Lancet) and a tie-off (Thread)",The Malison — boss designs for all eight Hours,P0,M,in-house (procedural),done,,0,
ART-0238,"Lauds dawn-flare VFX spec: full-screen gold bloom burst that blinds the Scrying Lens view, with an ENG shader-parameter table (intensity curve, duration)",The Malison — boss designs for all eight Hours,P0,M,in-house (procedural),done,,0,
ART-0239,"Lauds phase-3 fused form: merge transition (20 frames), fused idle loop and death sequence",The Malison — boss designs for all eight Hours,P0,L,TBD,not started,,,
ART-0240,Lauds Book-of-Hours card (dawn psalm miniature) and boss-intro splash,The Malison — boss designs for all eight Hours,P1,S,TBD,not started,,,
ART-0263,"8 painted tool icons (Lancet, Tongs, Leech-Pipe, Gut Thread, Saint's Salve, Tincture, Cautery Brand, Scrying Lens) at 128² with a brass-engraved style, replacing vector toolIcon()",Tool icons & cursors,P0,M,in-house (procedural),done,,0,
ART-0264,"Icon states for each tool: idle, selected (gilt rim), disabled (tarnished) and cooldown (tincture/salve refill)",Tool icons & cursors,P0,S,in-house (procedural),done,,0,
ART-0265,"Silhouette test: all 8 icons distinguishable in pure black at 48 px (5-tester hallway test, ≥ 95% correct)",Tool icons & cursors,P0,S,TBD,not started,,,
ART-0266,Small 32 px icon variants for the tutorial text inline glyphs and the keybind options page,Tool icons & cursors,P1,S,TBD,done,,0,
ART-0267,Leech-Pipe live-leech detail: a 4-frame squirm loop on the tray icon,Tool icons & cursors,P1,S,TBD,not started,,,
ART-0269,"In-field tool sprites for all 8 tools, drawn at the pointer during use (lancet blade, tong jaws open/closed, pipe nozzle, needle + thread trail, salve spatula, syringe, glowing brand, lens rim)",Tool icons & cursors,P0,M,in-house (procedural),done,,0,
ART-0270,"Tool hotspot definitions (tip pixel) for each tool sprite, verified with a debug crosshair so hits land where the tip is",Tool icons & cursors,P0,S,in-house (procedural),done,,0,
ART-0271,"Menu cursor (quill) and a busy cursor (hourglass), plus the hardware-cursor fallback PNGs at 32² and 64²",Tool icons & cursors,P0,S,in-house (procedural),done,,0,
ART-0272,"Replace reticle() with a brass crosshair and a context tint (green valid target, red invalid)",Tool icons & cursors,P1,S,in-house (procedural),done,,0,
ART-0273,"Gamepad/Steam Deck virtual-cursor art (larger ring, 1.5× size) and the button-prompt glyph set (Xbox, PlayStation, Deck)",Tool icons & cursors,P1,S,in-house (procedural),done,,0,
ART-0274,Litany star-trace cursor trail: a gilt ink stroke that fades over 0.6 s,Tool icons & cursors,P1,S,in-house (procedural),done,,0,
ART-0275,"Blood VFX: droplet particles (6 sprites), a splatter decal set (8), a Lancet-cut spray and a Leech-Pipe suction swirl",VFX,P0,M,in-house (procedural),done,,0,
ART-0276,"Cautery Brand VFX: contact sparks (8-frame), a smoke puff and a sear-glow decal that cools from orange to black over 2 s",VFX,P0,S,in-house (procedural),done,,0,
ART-0277,"Tincture injection VFX: a vein-glow ripple from the needle point and a stabilised ""calm"" shimmer",VFX,P0,S,in-house (procedural),done,,0,
ART-0278,Scrying Lens VFX: a lens-edge distortion ring and an ink-wash reveal of hidden objects (sepia underlay),VFX,P0,S,in-house (procedural),done,,0,
