name,category,chapters,first_use,origin_note,ip_check,status,checker
Matthis Kolb,person,1,s1-4,Historical given + surname (replaces 'Unknown vagrant'),—,clear,CL
Emmerich,person,1,s1-5,Historical given name,—,clear,CL
Tomas / Henning / Jorg,person,2,op2-1,Historical given names,—,clear,CL
Aurel Vennholt (the Precentor),person,3-5,s3-end,Invented surname; 'precentor' is a real choir office,no known fantasy villain of that name,clear,CL
Widow Aldegund Reiss,person,4-5,s4-8,Historical given name + surname,—,clear,CL
Registrar Oswin Tallert,person,3,s3-7,Invented surname,—,clear,CL
Liesl,person,3;5,s3-1,Given name,—,clear,CL
Guildmaster Voss,person,3,s3-9,Surname,—,clear,CL
"Kaspar, Jannik, Old Rudi, Wenzel, Ute Brandt, Berthold, Gottfried, Frieda, Mother Agathe, Brother Ansgar",person,3,s3-3,Historical given names/surnames,—,clear,CL
"Ruprecht, Wendel, Brakka, Gutram, Lord Eckbert von Salm, Margit, Hanne",person,4,s4-1,Historical given names; 'von Salm' a real noble family name (extinct lines) used generically,"not GW 'von Carstein'",clear,CL
"Lotte Harrach, Jakob, Dietmar, Greta, Rosina, Old Brigid, Guard-captain Ebner",person,5,s5-4,Historical given names/surnames,—,clear,CL
Kreuzer Deep / Kreuzer Tunnel / Kreuzer Hope,place,2;4;5,a2-2,Running gag (NAR-0108),—,clear,CL
Suture & Steel: The Malison Hours,title,—,store,Game title,"web search 2026-09-25: no game titled 'Suture & Steel'; subtitle 'Malison' collides in genre with 'Malison: The Cursed City' (Devolver) — NAR-0022 handoff",check (trademark — human),CL
