phase,category,item,basis,qty,unit_usd,amount_usd,owner,source
1.0,Localisation,pl Ch3-5 + new UI (words beyond the demo),per word,17264,0.11,1899.04,Loc lead,LOC-0078..0093
1.0,Localisation,pt-BR Ch3-5 + new UI (words beyond the demo),per word,17264,0.11,1899.04,Loc lead,LOC-0078..0093
1.0,Localisation,ru Ch3-5 + new UI (words beyond the demo),per word,17264,0.1,1726.4,Loc lead,LOC-0078..0093
1.0,Localisation,zh-Hans Ch3-5 + new UI (words beyond the demo),per word,17264,0.13,2244.32,Loc lead,LOC-0078..0093
1.0,Localisation,it full game + store,per word,20700,0.13,2691.0,Loc lead,LOC-0088..0097
1.0,Localisation,it legal text,per word,3200,0.2,640.0,Loc lead,LOC-0075
1.0,Localisation,ja full game + store,per word,20700,0.16,3312.0,Loc lead,LOC-0088..0097
1.0,Localisation,ja legal text,per word,3200,0.2,640.0,Loc lead,LOC-0075
1.0,Localisation,ko full game + store,per word,20700,0.15,3105.0,Loc lead,LOC-0088..0097
1.0,Localisation,ko legal text,per word,3200,0.2,640.0,Loc lead,LOC-0075
1.0,Localisation,ru Ch1-2 + store + legal (if not in the demo),per word,3436,0.1,343.6,Loc lead,LOC-0066..0069
1.0,Localisation,zh-Hans Ch1-2 + store + legal (if not in the demo),per word,3436,0.13,446.68,Loc lead,LOC-0066..0069
1.0,Localisation,TMS subscription (8 months),per month,8,150,1200,Loc lead,LOC-0046
1.0,Legal,"Counsel: 1.0 sign-off letter, store copy, contracts",estimate,1,10000,10000,Owner,OPS-0073
1.0,Ratings,Rating updates (IARC re-answer; USK/GRAC if required),provisional,1,3000,3000,Producer,OPS-0079/0080
1.0,Marketing,Launch trailer,quote estimate,1,4000,4000,Marketing lead,OPS-0102
1.0,Marketing,PR: launch campaign,quote estimate,1,8000,8000,Marketing lead,OPS-0135
1.0,Marketing,"Showcases, ads tests, creator programme",lump sum,1,5000,5000,Marketing lead,OPS-0099
1.0,Marketing,"Key platform, website, newsletter (8 months)",per month,8,350,2800,Marketing lead,OPS-0094/0095/0121
1.0,QA,"Compatibility lab + freelance testers (full game, Playtest waves)",quote estimate,1,12000,12000,QA lead,OPS-0047
1.0,Software,"Password manager, crash reporting (8 months)",per month,8,74,592,Owner,OPS-0013
Demo,Contingency,15 % contingency on the phase subtotal,15 %,1,14335.9,14335.9,Owner,OPS-0034
1.0,Contingency,15 % contingency on the phase subtotal,15 %,1,26363.6,26363.6,Owner,OPS-0034
